1-4,constant,2,321,62
1-4,constant,3,303,59
1-4,constant,4,305,59
1-4,constant,5,302,65
1-4,constant,6,290,150
1-4,constant,7,290,150
1-4,constant,8,290,150
1-4,constant,9,290,150
1-4,constant,10,290,150
1-4,constant,11,290,100
1-4,constant,12,120,100
1-4,constant,13,290,150
1-4,constant,14,290,100
1-4,constant,15,306,67
1-4,nokill,2,722,276
1-4,nokill,3,316,61
1-4,nokill,4,311,56
1-4,nokill,5,290,150
1-4,nokill,6,434,182
1-4,nokill,7,306,54
1-4,nokill,8,434,182
1-4,nokill,9,385,154
1-4,nokill,10,306,56
1-4,nokill,11,290,100
1-4,nokill,12,290,150
1-4,nokill,13,302,54
1-4,nokill,14,290,100
1-4,nokill,15,290,150
1-4,bestasref,2,290,100
1-4,bestasref,3,307,60
1-4,bestasref,4,46,100
1-4,bestasref,5,290,150
1-4,bestasref,6,290,100
1-4,bestasref,7,317,61
1-4,bestasref,8,434,175
1-4,bestasref,9,303,59
1-4,bestasref,10,290,150
1-4,bestasref,11,304,74
1-4,bestasref,12,290,150
1-4,bestasref,13,434,174
1-4,bestasref,14,735,187
1-4,bestasref,15,462,98
2-1,constant,2,306,55
2-1,constant,3,290,150
2-1,constant,4,321,62
2-1,constant,5,190,150
2-1,constant,6,303,58
2-1,constant,7,211,100
2-1,constant,8,377,71
2-1,constant,9,826,192
2-1,constant,10,317,61
2-1,constant,11,882,346
2-1,constant,12,148,100
2-1,constant,13,290,150
2-1,constant,14,303,59
2-1,constant,15,290,150
2-1,nokill,2,290,150
2-1,nokill,3,739,190
2-1,nokill,4,320,58
2-1,nokill,5,882,350
2-1,nokill,6,434,182
2-1,nokill,7,290,100
2-1,nokill,8,302,55
2-1,nokill,9,290,150
2-1,nokill,10,313,68
2-1,nokill,11,377,73
2-1,nokill,12,317,61
2-1,nokill,13,303,59
2-1,nokill,14,304,59
2-1,nokill,15,290,150
2-1,bestasref,2,290,150
2-1,bestasref,3,722,250
2-1,bestasref,4,302,65
2-1,bestasref,5,306,52
2-1,bestasref,6,304,58
2-1,bestasref,7,434,150
2-1,bestasref,8,546,300
2-1,bestasref,9,434,182
2-1,bestasref,10,314,69
2-1,bestasref,11,561,185
2-1,bestasref,12,305,59
2-1,bestasref,13,377,71
2-1,bestasref,14,304,59
2-1,bestasref,15,317,61
3-1,constant,2,303,59
3-1,constant,3,290,150
3-1,constant,4,316,75
3-1,constant,5,321,62
3-1,constant,6,290,150
3-1,constant,7,722,250
3-1,constant,8,305,64
3-1,constant,9,290,150
3-1,constant,10,362,80
3-1,constant,11,290,150
3-1,constant,12,290,150
3-1,constant,13,377,71
3-1,constant,14,457,97
3-1,constant,15,434,182
3-1,nokill,2,314,69
3-1,nokill,3,290,150
3-1,nokill,4,290,150
3-1,nokill,5,290,150
3-1,nokill,6,735,170
3-1,nokill,7,290,150
3-1,nokill,8,546,250
3-1,bestasref,2,290,150
3-1,bestasref,3,546,250
3-1,bestasref,4,290,150
3-1,bestasref,5,290,150
3-1,bestasref,6,434,150
3-1,bestasref,7,448,98
3-1,bestasref,8,290,150
4-1,constant,2,309,60
4-1,constant,3,311,62
4-1,constant,4,313,69
4-1,constant,5,314,69
4-1,constant,6,317,61
4-1,constant,7,434,150
4-1,constant,8,434,150
4-1,constant,9,305,55
4-1,constant,10,290,100
4-1,constant,11,434,150
4-1,constant,12,307,58
4-1,constant,13,458,96
4-1,constant,14,882,300
4-1,constant,15,318,74
4-1,nokill,2,546,200
4-1,nokill,3,308,66
4-1,nokill,4,290,150
4-1,nokill,5,290,150
4-1,nokill,6,434,150
4-1,nokill,7,180,100
4-1,nokill,8,311,60
4-1,nokill,9,305,59
4-1,nokill,10,290,150
4-1,nokill,11,316,62
4-1,nokill,12,882,350
4-1,nokill,13,434,150
4-1,nokill,14,290,150
4-1,nokill,15,320,59
4-1,bestasref,2,434,150
4-1,bestasref,3,305,59
4-1,bestasref,4,317,61
4-1,bestasref,5,510,204
4-1,bestasref,6,314,71
4-1,bestasref,7,317,61
4-1,bestasref,8,290,150
4-1,bestasref,9,305,61
4-1,bestasref,10,311,60
4-1,bestasref,11,434,150
4-1,bestasref,12,303,59
4-1,bestasref,13,314,69
4-1,bestasref,14,290,150
4-1,bestasref,15,304,69
4-2,constant,2,290,150
4-2,constant,3,722,264
4-2,constant,4,311,63
4-2,constant,5,290,150
4-2,constant,6,306,52
4-2,constant,7,290,150
4-2,constant,8,290,150
4-2,constant,9,290,150
4-2,constant,10,290,150
4-2,constant,11,290,100
4-2,constant,12,303,66
4-2,constant,13,290,150
4-2,constant,14,290,150
4-2,constant,15,169,100
4-2,nokill,2,83,100
4-2,nokill,3,290,100
4-2,nokill,4,290,150
4-2,nokill,5,290,150
4-2,nokill,6,290,150
4-2,nokill,7,290,150
4-2,nokill,8,290,100
4-2,nokill,9,290,100
4-2,nokill,10,290,150
4-2,nokill,11,434,177
4-2,nokill,12,290,150
4-2,nokill,13,304,70
4-2,nokill,14,290,150
4-2,nokill,15,305,61
4-2,bestasref,2,290,150
4-2,bestasref,3,290,150
4-2,bestasref,4,290,100
4-2,bestasref,5,305,55
4-2,bestasref,6,40,50
4-2,bestasref,7,290,150
4-2,bestasref,8,434,184
4-2,bestasref,9,462,178
4-2,bestasref,10,309,60
4-2,bestasref,11,290,150
4-2,bestasref,12,290,150
4-2,bestasref,13,290,150
4-2,bestasref,14,302,75
4-2,bestasref,15,290,150
5-1,constant,2,290,150
5-1,constant,3,290,150
5-1,constant,4,290,150
5-1,constant,5,304,58
5-1,constant,6,722,269
5-1,constant,7,290,100
5-1,constant,8,290,100
5-1,constant,9,290,150
5-1,constant,10,290,100
5-1,constant,11,722,247
5-1,constant,12,305,59
5-1,constant,13,290,100
5-1,constant,14,316,62
5-1,constant,15,434,150
5-1,nokill,2,321,74
5-1,nokill,3,434,200
5-1,nokill,4,303,67
5-1,nokill,5,290,150
5-1,nokill,6,304,75
5-1,nokill,7,434,250
5-1,nokill,8,305,59
5-1,nokill,9,316,63
5-1,nokill,10,290,100
5-1,nokill,11,546,350
5-1,nokill,12,290,150
5-1,nokill,13,320,68
5-1,nokill,14,290,100
5-1,nokill,15,290,150
5-1,bestasref,2,290,150
5-1,bestasref,3,546,200
5-1,bestasref,4,290,150
5-1,bestasref,5,561,161
5-1,bestasref,6,290,150
5-1,bestasref,7,318,74
5-1,bestasref,8,311,63
5-1,bestasref,9,313,66
5-1,bestasref,10,434,150
5-1,bestasref,11,40,50
5-1,bestasref,12,464,92
5-1,bestasref,13,316,63
5-1,bestasref,14,290,150
5-1,bestasref,15,434,178
6-2,constant,2,1378,650
6-2,constant,3,1404,533
6-2,constant,4,1378,550
6-2,constant,5,1490,448
6-2,constant,6,1378,550
6-2,constant,7,1378,450
6-2,constant,8,1378,450
6-2,constant,9,1378,550
6-2,constant,10,1378,600
6-2,constant,11,1378,500
6-2,constant,12,1686,475
6-2,constant,13,1330,400
6-2,constant,14,1330,450
6-2,constant,15,1378,500
6-2,nokill,2,546,200
6-2,nokill,3,290,150
6-2,nokill,4,1394,338
6-2,nokill,5,1490,542
6-2,nokill,6,1378,550
6-2,nokill,7,670,300
6-2,nokill,8,1170,400
6-2,nokill,9,546,200
6-2,nokill,10,722,250
6-2,nokill,11,546,250
6-2,nokill,12,1280,371
6-2,nokill,13,1378,500
6-2,nokill,14,290,150
6-2,nokill,15,1378,500
6-2,bestasref,2,1378,450
6-2,bestasref,3,1344,398
6-2,bestasref,4,1284,308
6-2,bestasref,5,1378,400
6-2,bestasref,6,1279,345
6-2,bestasref,7,1279,366
6-2,bestasref,8,1170,400
6-2,bestasref,9,1378,500
6-2,bestasref,10,1266,350
6-2,bestasref,11,1378,500
6-2,bestasref,12,1281,331
6-2,bestasref,13,1060,350
6-2,bestasref,14,1266,400
6-2,bestasref,15,1266,400
6-4,constant,2,290,150
6-4,constant,3,303,59
6-4,constant,4,290,150
6-4,constant,5,306,54
6-4,constant,6,290,100
6-4,constant,7,307,60
6-4,constant,8,620,199
6-4,constant,9,41,100
6-4,constant,10,290,150
6-4,constant,11,304,74
6-4,constant,12,290,150
6-4,constant,13,290,150
6-4,constant,14,40,50
6-4,constant,15,290,150
6-4,nokill,2,319,60
6-4,nokill,3,290,150
6-4,nokill,4,303,76
6-4,nokill,5,290,100
6-4,nokill,6,290,150
6-4,nokill,7,290,150
6-4,nokill,8,290,150
6-4,nokill,9,290,150
6-4,nokill,10,309,68
6-4,nokill,11,290,150
6-4,nokill,12,290,150
6-4,nokill,13,290,150
6-4,nokill,14,290,150
6-4,nokill,15,290,150
6-4,bestasref,3,290,100
6-4,bestasref,4,321,62
6-4,bestasref,5,290,100
6-4,bestasref,6,305,59
6-4,bestasref,7,290,150
6-4,bestasref,8,304,58
6-4,bestasref,9,290,150
6-4,bestasref,10,290,150
6-4,bestasref,11,290,150
6-4,bestasref,12,290,150
6-4,bestasref,13,304,76
6-4,bestasref,14,290,100
6-4,bestasref,15,302,78
1-4,nokill,16,290,150
1-4,nokill,17,56,100
1-4,nokill,18,290,150
1-4,nokill,19,290,150
1-4,nokill,20,307,64
1-4,nokill,21,434,200
1-4,nokill,22,309,65
1-4,nokill,23,290,100
1-4,nokill,24,290,150
1-4,nokill,25,40,50
1-4,nokill,26,290,150
1-4,nokill,27,290,150
1-4,nokill,28,290,100
1-4,nokill,29,290,150
1-4,nokill,30,305,59
1-4,nokill,31,305,59
1-4,bestasref,16,290,150
1-4,bestasref,17,318,70
1-4,bestasref,18,434,178
1-4,bestasref,19,290,150
1-4,bestasref,20,304,74
1-4,bestasref,21,290,150
1-4,bestasref,22,290,100
1-4,bestasref,23,320,79
1-4,bestasref,24,290,100
1-4,bestasref,25,290,100
1-4,bestasref,26,290,150
1-4,bestasref,27,290,150
1-4,bestasref,28,290,150
1-4,bestasref,29,312,53
1-4,bestasref,30,290,150
1-4,bestasref,31,290,100
1-4,constant,16,304,70
1-4,constant,17,290,150
1-4,constant,18,290,150
1-4,constant,19,290,150
1-4,constant,20,290,150
1-4,constant,21,290,100
1-4,constant,22,290,150
1-4,constant,23,321,74
1-4,constant,24,290,150
1-4,constant,25,434,150
1-4,constant,26,290,150
1-4,constant,27,304,52
1-4,constant,28,290,150
1-4,constant,29,306,52
1-4,constant,30,290,100
1-4,constant,31,546,250
4-1,nokill,16,722,250
4-1,nokill,17,434,150
4-1,nokill,18,577,140
4-1,nokill,19,317,61
4-1,nokill,20,546,200
4-1,nokill,21,446,99
4-1,nokill,22,290,150
4-1,nokill,23,321,67
4-1,nokill,24,462,97
4-1,nokill,25,722,357
4-1,nokill,26,290,150
4-1,nokill,27,546,250
4-1,nokill,28,722,283
4-1,nokill,29,434,150
4-1,nokill,30,304,76
4-1,nokill,31,321,74
4-1,bestasref,16,305,59
4-1,bestasref,17,305,59
4-1,bestasref,18,434,150
4-1,bestasref,19,290,150
4-1,bestasref,20,290,150
4-1,bestasref,21,305,60
4-1,bestasref,22,305,59
4-1,bestasref,23,321,62
4-1,bestasref,24,448,98
4-1,bestasref,25,304,74
4-1,bestasref,26,434,182
4-1,bestasref,27,434,150
4-1,bestasref,28,305,59
4-1,bestasref,29,305,59
4-1,bestasref,30,305,59
4-1,bestasref,31,895,311
4-1,constant,16,320,58
4-1,constant,17,306,64
4-1,constant,18,290,150
4-1,constant,19,317,63
4-1,constant,20,546,250
4-1,constant,21,305,61
4-1,constant,22,458,96
4-1,constant,23,303,59
4-1,constant,24,380,69
4-1,constant,25,434,150
4-1,constant,26,305,59
4-1,constant,27,434,150
4-1,constant,28,303,59
4-1,constant,29,434,182
4-1,constant,30,309,60
4-1,constant,31,434,182
